,Player,Nation,Pos,Team,Age,MP,Starts,Min,Gls,Ast,PK,xG,xAG,GA,StartPercentage,MPG,MPA,MinPerct
0,David de Gea,ESP,GK,Manchester United,31.0,38,38,3420.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,0.0,100.0
1,Bruno Fernandes,POR,MF,Manchester United,27.0,37,37,3316.0,8.0,8.0,2.0,9.3,16.7,16.0,97.37,414.5,414.5,96.96
2,Marcus Rashford,ENG,FW,Manchester United,24.0,35,32,2879.0,17.0,5.0,0.0,15.4,3.4,22.0,84.21,169.35,575.8,84.18
3,Luke Shaw,ENG,DF,Manchester United,27.0,31,30,2552.0,1.0,2.0,0.0,1.1,3.6,3.0,78.95,2552.0,1276.0,74.62
4,Christian Eriksen,DEN,MF,Manchester United,30.0,28,25,2048.0,1.0,8.0,0.0,5.0,4.2,9.0,65.79,2048.0,256.0,59.88
5,Diogo Dalot,POR,DF,Manchester United,23.0,26,24,2154.0,1.0,2.0,0.0,2.5,1.9,3.0,63.16,2154.0,1077.0,62.98
6,Casemiro,BRA,MF,Manchester United,30.0,28,24,2124.0,4.0,3.0,0.0,3.4,3.1,7.0,63.16,531.0,708.0,62.11
7,Lisandro Martínez,ARG,DF,Manchester United,24.0,27,24,2114.0,1.0,0.0,0.0,0.5,0.3,1.0,63.16,2114.0,0.0,61.81
8,Antony,BRA,FW,Manchester United,22.0,25,23,1802.0,4.0,2.0,0.0,6.6,2.9,6.0,60.53,450.5,901.0,52.69
9,Raphaël Varane,FRA,DF,Manchester United,29.0,24,22,1911.0,0.0,0.0,0.0,0.7,0.2,0.0,57.89,0.0,0.0,55.88
10,Jadon Sancho,ENG,FW,Manchester United,22.0,26,21,1686.0,6.0,3.0,0.0,4.2,5.0,9.0,55.26,281.0,562.0,49.3
11,Aaron Wan-Bissaka,ENG,DF,Manchester United,24.0,19,16,1435.0,0.0,0.0,0.0,1.2,1.0,0.0,42.11,0.0,0.0,41.96
12,Tyrell Malacia,NED,DF,Manchester United,22.0,22,14,1396.0,0.0,0.0,0.0,0.2,0.7,0.0,36.84,0.0,0.0,40.82
13,Victor Lindelöf,SWE,DF,Manchester United,28.0,20,14,1365.0,0.0,0.0,0.0,0.3,0.1,0.0,36.84,0.0,0.0,39.91
14,Fred,BRA,MF,Manchester United,29.0,35,12,1249.0,2.0,2.0,0.0,2.0,2.9,4.0,31.58,624.5,624.5,36.52
15,Anthony Martial,FRA,FW,Manchester United,26.0,21,11,978.0,6.0,2.0,1.0,6.2,1.4,8.0,28.95,163.0,489.0,28.6
16,Scott McTominay,SCO,MF,Manchester United,25.0,24,10,1160.0,1.0,0.0,0.0,1.9,0.6,1.0,26.32,1160.0,0.0,33.92
17,Wout Weghorst,NED,FW,Manchester United,29.0,17,10,797.0,0.0,1.0,0.0,2.0,1.2,1.0,26.32,0.0,797.0,23.3
18,Harry Maguire,ENG,DF,Manchester United,29.0,16,8,767.0,0.0,0.0,0.0,0.3,0.0,0.0,21.05,0.0,0.0,22.43
19,Marcel Sabitzer,AUT,MF,Manchester United,28.0,11,7,627.0,0.0,1.0,0.0,0.7,0.9,1.0,18.42,0.0,627.0,18.33
20,Alejandro Garnacho,ARG,FW,Manchester United,18.0,19,5,569.0,3.0,2.0,0.0,3.0,1.0,5.0,13.16,189.67,284.5,16.64
21,Anthony Elanga,SWE,FW,Manchester United,20.0,16,5,426.0,0.0,1.0,0.0,0.7,0.9,1.0,13.16,0.0,426.0,12.46
22,Cristiano Ronaldo,POR,FW,Manchester United,37.0,10,4,525.0,1.0,0.0,0.0,1.9,0.4,1.0,10.53,525.0,0.0,15.35
23,Donny van de Beek,NED,MF,Manchester United,25.0,7,2,167.0,0.0,0.0,0.0,0.1,0.1,0.0,5.26,0.0,0.0,4.88
24,Alisson,BRA,GK,Liverpool FC,29.0,37,37,3330.0,0.0,1.0,0.0,0.0,0.3,1.0,97.37,0.0,3330.0,97.37
25,Mohamed Salah,EGY,FW,Liverpool FC,30.0,38,37,3290.0,19.0,12.0,2.0,21.7,7.7,31.0,97.37,173.16,274.17,96.2
26,Trent Alexander-Arnold,ENG,DF,Liverpool FC,23.0,37,34,2923.0,2.0,9.0,0.0,2.4,11.5,11.0,89.47,1461.5,324.78,85.47
27,Virgil van Dijk,NED,DF,Liverpool FC,31.0,32,32,2835.0,3.0,1.0,0.0,2.6,1.2,4.0,84.21,945.0,2835.0,82.89
28,Fabinho,BRA,MF,Liverpool FC,28.0,36,31,2671.0,0.0,2.0,0.0,0.7,2.1,2.0,81.58,0.0,1335.5,78.1
29,Andrew Robertson,SCO,DF,Liverpool FC,28.0,34,29,2583.0,0.0,8.0,0.0,1.3,6.1,8.0,76.32,0.0,322.88,75.53
30,Jordan Henderson,ENG,MF,Liverpool FC,32.0,35,23,2074.0,0.0,2.0,0.0,1.4,3.2,2.0,60.53,0.0,1037.0,60.64
31,Darwin Núñez,URU,FW,Liverpool FC,23.0,29,19,1695.0,9.0,3.0,0.0,12.1,5.4,12.0,50.0,188.33,565.0,49.56
32,Harvey Elliott,ENG,MF,Liverpool FC,19.0,32,18,1613.0,1.0,2.0,0.0,2.1,3.6,3.0,47.37,1613.0,806.5,47.16
33,Ibrahima Konaté,FRA,DF,Liverpool FC,23.0,18,17,1552.0,0.0,0.0,0.0,1.2,0.1,0.0,44.74,0.0,0.0,45.38
34,Cody Gakpo,NED,FW,Liverpool FC,23.0,21,17,1458.0,7.0,2.0,0.0,6.2,2.7,9.0,44.74,208.29,729.0,42.63
35,Joe Gomez,ENG,DF,Liverpool FC,25.0,21,15,1466.0,0.0,0.0,0.0,0.2,0.2,0.0,39.47,0.0,0.0,42.87
36,Thiago Alcántara,ESP,MF,Liverpool FC,31.0,18,14,1254.0,0.0,0.0,0.0,0.4,1.1,0.0,36.84,0.0,0.0,36.67
37,Roberto Firmino,BRA,FW,Liverpool FC,30.0,25,13,1213.0,11.0,4.0,0.0,5.5,2.5,15.0,34.21,110.27,303.25,35.47
38,Diogo Jota,POR,FW,Liverpool FC,25.0,22,12,1131.0,7.0,4.0,0.0,6.5,2.1,11.0,31.58,161.57,282.75,33.07
39,Joël Matip,CMR,DF,Liverpool FC,30.0,14,12,1092.0,1.0,0.0,0.0,0.7,0.3,1.0,31.58,1092.0,0.0,31.93
40,Curtis Jones,ENG,MF,Liverpool FC,21.0,18,12,1035.0,3.0,1.0,0.0,1.2,1.1,4.0,31.58,345.0,1035.0,30.26
41,Luis Díaz,COL,FW,Liverpool FC,25.0,17,11,996.0,4.0,2.0,0.0,2.5,1.5,6.0,28.95,249.0,498.0,29.12
42,Kostas Tsimikas,GRE,DF,Liverpool FC,26.0,20,9,771.0,0.0,4.0,0.0,0.6,1.6,4.0,23.68,0.0,192.75,22.54
43,James Milner,ENG,MF,Liverpool FC,36.0,31,7,913.0,0.0,1.0,0.0,0.4,0.9,1.0,18.42,0.0,913.0,26.7
44,Stefan Bajcetic,ESP,MF,Liverpool FC,17.0,11,6,526.0,1.0,0.0,0.0,0.8,0.4,1.0,15.79,526.0,0.0,15.38
45,Fabio Carvalho,POR,MF,Liverpool FC,19.0,13,4,347.0,2.0,0.0,0.0,1.1,0.1,2.0,10.53,173.5,0.0,10.15
46,Alex Oxlade-Chamberlain,ENG,MF,Liverpool FC,28.0,9,4,335.0,1.0,0.0,0.0,1.3,0.9,1.0,10.53,335.0,0.0,9.8
47,Naby Keïta,GUI,MF,Liverpool FC,27.0,8,3,293.0,0.0,0.0,0.0,0.6,0.7,0.0,7.89,0.0,0.0,8.57
48,Caoimhín Kelleher,IRL,GK,Liverpool FC,23.0,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,2.63
49,Nathaniel Phillips,ENG,DF,Liverpool FC,25.0,2,1,66.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,1.93
50,Ederson,BRA,GK,Manchester City,28.0,35,35,3150.0,0.0,1.0,0.0,0.0,0.2,1.0,92.11,0.0,3150.0,92.11
51,Rodri,ESP,MF,Manchester City,26.0,36,34,2911.0,2.0,6.0,0.0,4.6,4.1,8.0,89.47,1455.5,485.17,85.12
