,Player,Nation,Pos,Age,Gls,Gls
1,David de Gea,es ESP,GK,31.0,0.0,0.0
2,Bruno Fernandes,pt POR,"MF,FW",27.0,8.0,0.22
3,Marcus Rashford,eng ENG,FW,24.0,17.0,0.53
4,Luke Shaw,eng ENG,DF,27.0,1.0,0.04
5,Christian Eriksen,dk DEN,MF,30.0,1.0,0.04
6,Diogo Dalot,pt POR,DF,23.0,1.0,0.04
7,Casemiro,br BRA,MF,30.0,4.0,0.17
8,Lisandro Martínez,ar ARG,DF,24.0,1.0,0.04
9,Antony,br BRA,FW,22.0,4.0,0.2
10,Raphaël Varane,fr FRA,DF,29.0,0.0,0.0
11,Jadon Sancho,eng ENG,"FW,MF",22.0,6.0,0.32
12,Aaron Wan-Bissaka,eng ENG,DF,24.0,0.0,0.0
13,Tyrell Malacia,nl NED,DF,22.0,0.0,0.0
14,Victor Lindelöf,se SWE,DF,28.0,0.0,0.0
15,Fred,br BRA,MF,29.0,2.0,0.14
16,Anthony Martial,fr FRA,FW,26.0,6.0,0.55
17,Scott McTominay,sct SCO,MF,25.0,1.0,0.08
18,Wout Weghorst,nl NED,"FW,MF",29.0,0.0,0.0
19,Harry Maguire,eng ENG,DF,29.0,0.0,0.0
20,Marcel Sabitzer,at AUT,MF,28.0,0.0,0.0
21,Alejandro Garnacho,ar ARG,"FW,MF",18.0,3.0,0.47
22,Anthony Elanga,se SWE,FW,20.0,0.0,0.0
23,Cristiano Ronaldo,pt POR,FW,37.0,1.0,0.17
24,Donny van de Beek,nl NED,MF,25.0,0.0,0.0
1,Alisson,br BRA,GK,29.0,0.0,0.0
2,Mohamed Salah,eg EGY,FW,30.0,19.0,0.52
3,Trent Alexander-Arnold,eng ENG,DF,23.0,2.0,0.06
4,Virgil van Dijk,nl NED,DF,31.0,3.0,0.1
5,Fabinho,br BRA,MF,28.0,0.0,0.0
6,Andrew Robertson,sct SCO,DF,28.0,0.0,0.0
7,Jordan Henderson,eng ENG,MF,32.0,0.0,0.0
8,Darwin Núñez,uy URU,FW,23.0,9.0,0.48
9,Harvey Elliott,eng ENG,"MF,FW",19.0,1.0,0.06
10,Ibrahima Konaté,fr FRA,DF,23.0,0.0,0.0
11,Cody Gakpo,nl NED,"FW,MF",23.0,7.0,0.43
12,Joe Gomez,eng ENG,DF,25.0,0.0,0.0
13,Thiago Alcántara,es ESP,MF,31.0,0.0,0.0
14,Roberto Firmino,br BRA,"FW,MF",30.0,11.0,0.82
15,Diogo Jota,pt POR,FW,25.0,7.0,0.56
16,Joël Matip,cm CMR,DF,30.0,1.0,0.08
17,Curtis Jones,eng ENG,MF,21.0,3.0,0.26
